id,imdb_votes,number_in_season,number_in_series,original_air_date,season,title,us_viewers_in_millions,imdb_score
511,460.0,3,511,2012-11-04,24,Adventures in Baby-Getting,5.65,6.9
506,405.0,20,506,2012-05-06,23,The Spy Who Learned Me,4.84,6.9
92,1202.0,11,92,1994-01-06,5,Homer the Vigilante,20.1,8.2
413,788.0,13,413,2008-03-02,19,The Debarted,8.18,7.7
424,757.0,4,424,2008-11-02,20,Treehouse of Horror XIX,12.48,7.1
572,330.0,20,572,2015-05-03,26,Let's Go Fly a Coot,3.12,6.2
1,3734.0,1,1,1989-12-17,1,Simpsons Roasting on an Open Fire,26.7,8.2
382,723.0,4,382,2006-11-05,18,Treehouse of Horror XVII,10.43,7.1
315,595.0,2,315,2003-11-09,15,My Mother the Carjacker,12.4,7.3
195,957.0,17,195,1998-03-08,9,Lisa the Simpson,10.4,8.0
557,442.0,5,557,2014-11-02,26,Opposites A-Frack,4.22,6.3
85,1479.0,4,85,1993-10-21,5,Rosebud,19.5,8.9
370,558.0,14,370,2006-03-19,17,Bart Has Two Mommies,8.75,7.0
398,569.0,20,398,2007-05-13,18,Stop! Or My Dog Will Shoot,6.48,7.0
172,995.0,19,172,1997-04-06,8,Grade School Confidential,13.3,8.2
191,1042.0,13,191,1998-02-08,9,The Joy of Sect,9.4,8.2
494,476.0,8,494,2011-12-04,23,The Ten-Per-Cent Solution,9.01,6.2
38,1302.0,3,38,1991-10-03,3,When Flanders Failed,22.8,8.2
540,475.0,10,540,2014-01-12,25,Married to the Blob,4.83,7.1
338,556.0,3,338,2004-11-21,16,Sleeping with the Enemy,9.95,7.1
500,580.0,14,500,2012-02-19,23,At Long Last Leave,5.77,7.0
397,542.0,19,397,2007-05-06,18,Crook and Ladder,7.72,7.1
391,617.0,13,391,2007-02-18,18,Springfield Up,8.8,7.3
583,698.0,9,583,2015-12-13,27,Barthood,5.97,8.4
300,644.0,9,300,2003-02-02,14,The Strong Arms of the Ma,15.4,6.9
220,843.0,17,220,1999-03-28,10,Maximum Homerdrive,15.5,7.6
309,651.0,18,309,2003-04-27,14,"Dude, Where's My Ranch?",11.71,7.0
467,501.0,3,467,2010-10-10,22,MoneyBart,6.72,6.8
128,1619.0,25,128,1995-05-21,6,Who Shot Mr. Burns? (Part One),15.0,9.1
